sub,session,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
LB029,9,1,2,3,3,3,2,3,2,3,3,3,4,4,4,5,4,4,4,4,4
LB029,10,1,2,3,3,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3
LB029,11,1,2,3,3,4,4,3,4,5,6,6,5,4,4,4,3,4,3,3,3
LB029,12,1,2,3,3,4,3,3,4,3,3,3,4,4,4,5,4,5,5,5,4
LB029,13,1,2,3,4,3,4,3,2,3,4,3,3,3,4,4,3,3,4,3,3
LB029,14,1,2,3,4,5,4,3,4,3,2,1,2,3,4,5,4,3,3,4,3
LB029,15,1,2,3,3,3,3,4,4,3,4,4,3,2,3,3,3,4,4,3,3
LB029,16,1,2,3,4,3,4,3,4,4,5,4,3,4,4,4,4,3,3,4,4
LB029,17,1,2,3,4,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,3
LB029,18,1,2,3,3,2,2,3,3,2,3,3,3,4,4,3,3,2,3,3,3
LB033,1,1,2,2,2,1,2,3,2,1,2,2,3,2,1,2,2,3,3,3,2
LB033,2,1,2,3,2,2,3,3,2,2,2,3,2,3,2,2,3,3,2,3,3
LB033,3,1,2,2,2,3,3,4,4,3,4,4,4,4,3,3,4,3,3,4,4
LB033,4,1,2,3,3,4,4,4,4,4,3,4,4,3,4,3,4,5,4,3,3
LB033,5,1,2,3,4,4,4,4,5,4,3,3,4,3,4,4,3,4,4,3,3
LB033,6,1,2,3,4,4,3,3,3,4,4,4,5,4,4,3,2,3,4,4,4
LB033,7,1,2,3,4,4,4,3,4,4,4,4,4,5,4,4,3,4,4,3,4
LB033,8,1,2,3,4,3,3,4,4,4,4,4,5,4,4,5,4,4,4,5,4
LB033,9,1,2,3,4,5,4,4,4,3,4,4,5,4,4,4,5,4,5,4,4
LB033,10,1,2,3,4,5,4,4,5,4,5,4,5,4,4,4,3,3,4,4,4
LB033,11,1,2,3,4,4,4,3,4,4,4,4,5,4,4,3,3,3,3,4,4
LB033,12,1,2,3,4,4,5,4,4,5,4,5,4,3,4,5,4,4,4,4,3
LB033,13,1,2,3,3,4,4,4,5,4,5,5,4,4,5,4,4,3,4,5,4
LB033,14,1,2,3,4,4,4,4,5,5,5,4,5,4,4,5,5,4,3,4,4
LB033,15,1,2,3,4,5,4,5,5,4,5,4,4,4,5,5,4,4,4,5,4
LB033,16,1,2,3,4,3,4,5,5,5,4,3,4,5,5,5,4,3,4,3,4
LB033,17,1,2,3,4,4,3,4,4,5,5,5,4,4,4,4,3,4,5,6,5
LB033,18,1,2,3,4,5,4,5,4,5,5,5,4,4,4,5,4,5,4,4,5
LB007,1,1,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,3
LB007,2,1,2,3,4,3,2,3,3,3,3,3,2,3,4,3,2,2,3,3,2
LB007,3,1,2,3,3,4,3,4,4,4,3,4,3,2,3,3,2,2,3,2,3
LB007,4,1,2,3,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,3,2
LB007,5,1,2,2,3,2,3,2,2,2,3,2,3,3,2,2,3,2,2,2,3
LB007,6,1,2,3,3,3,3,3,4,3,3,3,4,3,3,2,3,3,3,2,3
LB007,7,1,2,3,2,3,2,2,3,3,3,2,3,3,3,2,3,2,3,3,2
LB007,8,1,2,3,4,4,3,2,3,3,3,3,3,2,3,2,1,2,3,3,2
LB007,9,1,2,3,3,2,1,1,2,2,3,2,3,4,3,3,2,3,2,2,3
LB007,10,1,2,3,4,3,3,3,4,4,3,2,3,3,3,3,3,4,5,4,3
LB007,11,1,2,3,3,4,3,3,3,4,3,4,5,4,3,3,3,4,3,2,3
LB007,12,1,2,3,3,3,3,2,3,2,1,1,2,3,3,2,3,3,3,3,3
LB007,13,1,2,2,3,3,4,4,3,2,3,2,2,2,2,1,2,2,2,3,3
LB007,14,1,2,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,3,2
LB007,15,1,2,3,4,3,3,3,2,3,4,3,3,3,3,3,3,2,3,4,3
LB007,16,1,2,3,2,2,2,3,3,3,2,1,2,2,3,3,3,4,3,3,2
LB007,17,1,1,2,3,2,2,2,2,3,3,4,4,3,2,2,2,2,2,2,2
LB007,18,1,2,3,3,4,4,4,3,2,2,3,3,2,1,2,3,3,3,3,3
LB039,1,1,2,1,1,2,3,2,2,2,3,2,3,3,2,1,2,3,2,2,2
LB039,2,1,2,3,3,2,2,3,2,3,2,2,2,3,2,2,3,2,3,3,3
LB039,3,1,2,3,3,3,2,2,3,3,2,2,3,4,3,3,2,1,2,2,3
LB039,4,1,2,3,3,3,2,2,3,2,3,2,3,2,2,3,3,3,2,3,2
LB039,5,1,2,3,3,2,2,3,2,2,3,2,3,3,3,2,2,2,3,2,3
LB039,6,1,2,3,3,4,4,4,3,3,2,3,3,3,3,3,3,4,4,5,5
LB039,7,1,2,3,4,4,4,4,4,3,4,4,3,2,2,2,3,4,3,2,3
LB039,8,1,2,3,3,3,4,3,4,3,4,3,3,3,4,4,3,2,3,3,2
LB039,9,1,2,3,3,3,4,4,4,4,3,4,3,3,4,3,3,2,3,3,3
LB039,10,1,2,3,4,3,2,3,4,4,4,3,2,3,3,2,3,2,3,4,4
LB039,11,1,2,3,4,3,2,3,4,4,4,3,2,3,3,4,3,2,3,4,4
LB039,12,1,2,3,3,3,3,4,5,5,4,4,4,4,3,4,4,4,4,4,4
LB039,13,1,2,3,4,3,2,3,4,4,4,4,3,4,4,3,3,4,3,3,2
LB039,14,1,2,3,3,3,4,4,4,4,4,3,4,3,4,5,5,4,4,4,4
LB039,15,1,2,3,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,4,4
LB039,16,1,2,2,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3
LB039,17,1,2,3,3,4,4,4,4,3,4,4,4,4,4,3,3,4,5,5,4
LB039,18,1,2,3,4,3,4,5,5,4,4,4,4,4,5,4,4,4,4,3,3
LB044,1,1,1,2,2,2,3,3,2,3,3,3,3,2,2,3,2,2,2,2,2
LB044,2,1,2,3,2,3,2,2,3,2,3,3,2,3,2,1,2,2,1,2,3
LB044,3,1,2,2,3,3,3,4,4,4,3,4,3,2,3,3,2,2,3,3,4
LB044,4,1,2,3,3,3,4,4,3,2,1,2,3,3,3,3,3,3,3,3,2
LB044,5,1,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,2,3,2
LB044,6,1,2,3,3,2,2,2,2,2,2,2,3,4,4,4,3,3,3,2,2
LB044,7,1,2,3,3,4,3,2,3,2,3,3,4,4,4,3,3,2,3,3,2
LB044,8,1,2,3,2,3,4,3,3,4,3,4,5,5,4,3,3,3,3,4,4
LB044,9,1,2,3,3,4,3,3,3,2,2,3,4,3,3,3,4,3,2,2,3
LB044,10,1,2,3,3,3,2,3,2,1,2,3,3,4,3,3,3,3,2,2,2
LB044,11,1,2,3,2,3,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3
LB044,12,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3
LB044,13,1,2,2,3,3,3,4,3,3,4,4,4,3,3,3,4,4,3,4,5
LB044,14,1,2,3,2,2,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3
LB044,15,1,2,3,4,4,5,5,5,4,3,4,5,5,4,4,3,4,3,3,3
LB044,16,1,2,3,4,5,4,4,4,4,3,4,3,3,2,3,4,4,4,3,3
LB044,17,1,2,3,4,4,3,4,4,3,3,4,4,3,3,4,3,4,4,4,4
LB044,18,1,2,3,3,4,4,5,4,4,4,5,6,5,4,4,4,3,4,3,3
LB045,1,1,2,2,2,3,2,2,2,2,3,3,2,3,2,3,2,3,2,2,2
LB045,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2
LB045,3,1,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,2
LB045,4,1,2,3,3,3,2,2,3,3,2,3,2,3,4,3,2,3,2,3,3
LB045,5,1,2,3,2,2,3,2,3,2,2,3,2,3,3,3,2,3,3,3,3
LB045,6,1,2,3,2,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,3
LB045,7,1,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3
LB045,8,1,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
LB045,9,1,2,3,4,3,4,4,3,2,2,3,3,3,2,3,4,3,3,3,3
LB045,10,1,2,3,3,4,3,4,3,3,4,3,4,3,4,4,3,3,4,3,4
LB045,11,1,2,3,4,3,3,3,4,3,4,3,4,3,4,3,4,4,4,4,4
LB045,12,1,2,3,2,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,4
LB045,13,1,2,3,4,3,4,4,3,4,3,2,3,4,3,3,4,4,3,4,3
LB045,14,1,2,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,3,4,4
LB045,15,1,2,3,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4
LB045,16,1,2,3,4,3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,3
LB045,17,1,2,3,4,4,5,4,4,5,4,4,4,4,3,3,4,3,4,3,4
LB045,18,1,2,3,4,4,5,4,4,5,4,4,4,4,4,4,3,4,5,4,5
LB047,1,1,2,3,3,2,3,3,4,3,4,3,4,4,3,3,4,4,4,4,4
LB047,2,1,2,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,4
LB047,3,1,2,2,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,4,4
LB047,4,1,2,3,3,4,4,4,4,4,3,4,4,3,3,3,4,3,4,5,4
LB047,5,1,2,3,4,4,4,3,2,2,3,4,4,5,5,4,4,3,3,3,3
LB047,6,1,2,3,4,3,3,4,4,3,4,4,5,4,5,5,5,4,4,5,4
LB047,7,1,2,3,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4
LB047,8,1,2,3,4,4,4,5,4,4,5,5,5,6,5,5,6,6,5,5,5
LB047,9,1,2,3,4,5,5,5,5,5,5,4,5,6,5,5,6,6,6,6,5
LB047,10,1,2,3,4,4,5,5,4,5,4,5,4,5,5,4,5,5,4,4,5
LB047,11,1,2,3,4,4,4,5,5,5,5,4,3,4,4,5,5,5,5,4,5
LB047,12,1,2,3,3,4,5,6,5,6,7,6,5,4,5,4,5,6,6,6,5
LB047,13,1,2,3,4,5,5,4,5,5,5,4,4,5,4,4,5,6,6,6,5
LB047,14,1,2,3,4,5,5,5,5,4,5,5,6,6,6,5,5,4,4,4,4
LB047,15,1,2,3,4,5,5,5,5,4,5,4,5,6,7,6,5,6,6,5,5
LB047,16,1,2,3,4,4,5,5,5,6,5,4,5,5,4,5,6,5,5,6,6
LB047,17,1,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
LB047,18,1,2,3,4,5,5,4,5,6,5,4,5,4,5,5,6,7,6,5,6
LB048,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
LB048,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2,3,2
LB048,3,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
LB048,4,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,3,3
LB048,5,1,2,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2
LB048,6,1,2,3,2,3,2,1,2,3,3,3,3,2,2,2,2,3,3,3,2
LB048,7,1,2,3,3,2,1,2,3,3,3,3,3,3,3,2,2,3,2,3,3
LB048,8,1,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
LB048,9,1,2,3,3,2,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2
LB048,10,1,2,3,3,4,4,3,3,4,4,3,3,3,3,3,3,2,3,3,2
LB048,11,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,4
LB048,12,1,2,2,3,2,3,2,2,3,3,3,2,2,3,3,3,3,2,3,3
LB048,13,1,2,3,3,2,3,2,3,2,2,3,2,3,4,3,3,4,4,4,3
LB048,14,1,2,3,2,3,3,2,2,3,4,3,3,2,3,3,3,3,2,3,4
LB048,15,1,2,2,2,2,2,3,3,3,4,3,3,2,3,3,3,4,4,3,3
LB048,16,1,2,3,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,2
LB048,17,1,2,3,3,2,3,2,3,3,4,3,4,3,3,2,3,3,3,4,3
LB048,18,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
LB051,1,1,2,2,2,1,2,3,2,2,2,2,1,1,2,1,2,2,3,2,2
LB051,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,3,2,1,2,3
LB051,3,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,2,2
LB051,4,1,2,2,3,2,2,2,3,2,2,2,3,2,3,2,1,2,2,3,3
LB051,5,1,2,2,2,2,3,3,2,2,2,1,2,2,2,2,3,2,2,2,3
LB051,6,1,2,2,3,2,1,2,1,2,2,2,2,3,2,2,1,2,3,2,1
LB051,7,1,2,3,3,2,1,2,2,3,2,1,2,3,2,2,3,2,3,2,2
LB051,8,1,2,3,2,2,3,2,2,2,2,3,3,2,3,2,2,1,2,2,2
LB051,9,1,2,3,2,3,2,2,2,1,2,1,2,2,3,2,2,3,2,1,2
LB051,10,1,2,2,2,2,1,2,2,2,3,3,2,2,2,2,1,2,3,2,3
LB051,11,1,2,2,2,2,3,3,2,1,2,2,3,3,2,3,2,2,2,3,2
LB051,12,1,2,3,2,3,2,2,2,2,3,3,3,3,3,4,3,2,3,3,2
LB051,13,1,2,3,2,3,3,3,2,3,3,2,3,2,3,3,2,1,2,3,3
LB051,14,1,2,3,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,1
LB051,15,1,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,2,2
LB051,16,1,2,3,2,2,2,1,1,2,2,3,2,2,2,2,2,3,2,3,2
LB051,17,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
LB051,18,1,2,2,2,2,3,3,3,4,5,5,5,4,4,5,6,6,6,5,4
LB052,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1
LB052,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,3,2,1,1,2,1
LB052,3,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2
LB052,4,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,2
LB052,5,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,3,2,3,2,1
LB052,6,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,2,3,2
LB052,7,1,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2
LB052,8,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1
LB052,9,1,1,2,1,2,3,2,1,1,1,2,2,2,2,2,1,2,2,1,1
LB052,10,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1
LB052,11,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
LB052,12,1,2,2,2,3,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1
LB052,13,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1
LB052,14,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2
LB052,15,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,3,3
LB052,16,1,2,2,2,2,2,3,3,2,1,1,2,3,2,2,2,2,2,2,2
LB052,17,1,1,2,2,2,3,3,2,2,2,2,2,1,2,2,2,3,2,2,2
LB052,18,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,3,2,1
LB054,1,1,1,2,3,2,1,2,2,2,3,2,2,1,2,2,2,1,2,3,2
LB054,2,1,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,3
LB054,3,1,2,3,2,3,2,3,2,3,2,2,2,2,2,3,3,2,1,2,3
LB054,4,1,2,2,2,3,2,3,2,2,3,2,2,2,2,3,2,2,2,3,2
LB054,5,1,2,2,2,3,2,3,3,2,2,3,3,2,3,3,2,3,2,3,2
LB054,6,1,1,2,2,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2
LB054,7,1,2,3,2,2,3,2,3,2,3,2,2,3,2,3,2,2,2,3,2
LB054,8,1,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3
LB054,9,1,2,3,2,3,3,2,3,2,3,3,3,2,3,4,3,3,2,3,3
LB054,10,1,2,2,3,3,3,2,3,2,3,2,3,2,2,3,2,2,3,2,2
LB054,11,1,2,3,2,3,3,3,3,2,3,3,3,2,2,3,2,2,3,2,3
LB054,12,1,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,3
LB054,13,1,2,3,3,4,3,3,3,3,2,2,3,2,3,2,3,3,2,3,2
LB054,14,1,2,3,2,3,3,2,3,2,3,2,3,2,3,2,2,3,3,3,2
LB054,15,1,2,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,2,3,2
LB054,16,1,2,3,2,3,2,3,2,3,2,3,3,2,2,3,3,3,2,2,3
LB054,17,1,2,3,3,3,2,3,3,2,3,3,3,3,2,3,2,3,2,3,2
LB054,18,1,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
LB056,1,1,2,2,3,3,2,2,3,2,2,2,2,1,2,2,2,3,2,2,3
LB056,2,1,2,3,4,3,2,3,3,4,4,3,4,3,3,2,3,4,4,4,3
LB056,3,1,1,2,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,4,4
LB056,4,1,2,3,2,3,4,3,3,3,3,3,4,3,3,3,3,3,2,2,1
LB056,5,1,2,3,4,4,3,3,3,4,4,4,3,3,2,3,3,3,2,2,2
LB056,6,1,2,3,4,4,4,5,5,4,4,4,3,4,4,4,4,4,3,4,4
LB056,7,1,2,3,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3
LB056,8,1,2,3,3,4,5,5,4,5,4,4,4,5,4,3,4,4,3,3,4
LB056,9,1,2,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4
LB056,10,1,2,3,3,4,3,4,4,3,4,4,4,3,3,4,3,3,4,4,3
LB056,11,1,2,3,4,4,3,3,4,4,5,4,4,4,4,4,3,4,3,4,4
LB056,12,1,2,3,4,5,5,5,4,5,4,4,5,5,5,4,4,4,4,3,3
LB056,13,1,2,3,4,5,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4
LB056,14,1,2,3,4,5,6,5,4,4,4,5,4,4,4,4,4,4,4,4,4
LB056,15,1,2,3,3,4,4,4,3,4,3,4,4,4,3,3,3,3,3,4,4
LB056,16,1,2,3,4,4,3,4,3,3,3,3,4,4,4,3,2,3,3,3,4
LB056,17,1,2,3,4,4,4,4,4,3,3,4,4,4,4,3,2,2,3,4,4
LB056,18,1,2,3,4,3,4,4,3,4,5,5,4,3,3,4,5,5,6,5,4